,text,dialect
975,ملحوظة البنات تخافوا تسمعي نيابة وتخافي المكان زيو زي السجل المدني وغيرو فيهو موظفات وموظفين عادي ولزيادة اطمئنان سوقي معاكي زول قريبك بتثقي فيهو,SD
976,شكرا ريهام الله يخليك,TN
977,يعني بنتطمش رد فعل شبيحة العوضي,AE
978,بتطولها واهي قصيره,KW
979,الاقيش معاك يا عم نجيب قرض حسن ابدا بيهم حلمي وهسدهم شهر ولو عاوز تشاركني هسدهم بارضو وتبقى شريك بالربع,EG
980,كلام منطقي اتفق معك,IQ
981,ولهت عفاريت للارض قول امين,QA
982,الله غالب وقفن الدموع مانشوف حد كاتب مانمسك روحي والله,LY
983,كامل بصح,DZ
984,يلا مسابقةالجائزة قيمتها عبارة رصيد مقدمة شركة سوداني الحتعملو بإجابة صحيحةفولو ريتويت للتغريدة دي ممكن تشارك ولو فزت تهدي الرصيد للبتحبو حتكون هدية حلوة اخترت ليكم سؤال سهل والحيجاوب غلط حأقول ليك غلط حأغششكم يعني,SD
985,الصراحه اغنية مافي تهبل روووعه,JO
986,شعار بقى حلب بطلنا نطلع بطلنا نطلع بطلنا نطلع نحنا الله وبالله,SY
987,ده شنو شغل نسخ ولصق مليتو بيها النت,SD
988,ممنونه لخاطري امسحه وعلق,IQ
989,نشفى نهار تفرجت الحلقة مت ضحك المهم عندها حق,DZ
990,شاريها صجك هالفقمه يعرف يكتب سطرين,QA
991,نسيب بقى الناس اللي ربنا نجاها ونمسك الراجل اللي مات صلاح الدين الأيوبي,EG
992,شكر الله سعيكم بلال,PL
993,امهات وزوجات اب اصلهم شريريعني مش قصة قصص رواياتفي شخصيات مريضة يعنيمش ممكن تلاقي حد سويفي امهات واباء متعتهم انهم يعذبوا عيالهم لحمهم ودمهم عادي دة طبيعي بالنسبة ليهم,TN
994,مصر حتبقى جنه طول رجالة شرطة وجيش بتستشهد علشانايتبعاحنامعاكياريس,AE
995,الحجار بيبروم متل عمو جنبلاط تميل الكفي بميل,LB
996,ههه يكذبو حنا نقولو فكرون ماشي بوفكران,DZ
997,لان العراقيين محافظين يخلون بنت ترشح فمنو يرشح بس التعبانات خصوصا بالمحافظات,IQ
998,واطلع اللي بقلبي,YE
999,مساكيييين البرنامج يفشل حكمتوا بالفشششششل نوال لاتصلح وماراح تعبي مكان احلام احنا الأردن,JO
1000,انا ضعت بطلت عرفانة شو المسروق,LB
1001,يقصف عمرك وعمر هنوفك,SY
1002,جنة إيه اللي تروحها حساب دم غيرك,YE
1003,يا الله مو طايقة شي طايقة حالي طايقة حدا حدا يا رب يا رب يااااا رب بس,PL
1004,عايز اكون غصن اخضر يرمز للسلام,SD
1005,هذي النتيجة تقرر تشد حيلك وتوخذ مواد الكلية,OM
1006,شدعوى ترى كلها باكبت سجاير,QA
1007,مظاهراتلبنان انا بدي المسلسل يا قناةالجديدبكفي مظاهراتفلقتولنا راسنا ولوووو,TN
1008,العرب يستشهد بالمثل الرديء التالياللى يتجوز أمى أقوله يا عمىهنا اقولالبداية اضطرار واقعي مؤلمالنهاية ذل إرادي انتهازي مستسهل,BH
1009,سورية وكلمة سوريا لحالها بترفع الراس,SY
1010,الله يذكره بالخير هذاك,QA
1011,يهربون جميعا ريفاس خط احمر انتبهوا ريفاس ترى العيون الاتحاد,SA
1012,الناس كلها تسقم ادير فلوس سرقيوه تملحت,LY
1013,والله دا الكلام الانا بقولوا مشكلته انو بيجيب المعوقات لنفسه ويقول مفروض ومفروض طيب يا مزمل اسي انا ممكن اولك بزول يصدر ليك منتجك دا اها انت مستعد,SD
1014,السراج والحراميه اللي معاه,LY
1015,وربعك وبني عمك حولك وهم لك سلاح بوقت داعيه ياوجهه همدان,YE
1016,هههههههه وكايفرنسسسسس تا,MA
1017,خل العيون تقول ماتعجز قوله الافواه,OM
1018,دير بالك اخوي حرر ولد الصقلاوية يلا تطك الخشم,IQ
1019,محمد كلمه بس صغيرةالله يذيقكم مابيحصل لنا ويورينا فيكم بجاه النبي محمد فيكم عيالكم وذريتكم,YE
1020,اتمنى الجو مغيم وممطر كاليوم,YE
1021,منقول صفحة غفران حجازي,SY
1022,امكانيات مادية حاجة تانية,SD
1023,والله أفرط فـ السلوم فـ العوايد لين أمووت سودت وجهي ظروفي سود الله وجهها,KW
1024,ابوالميدةتكفىخذولدكمعك الهلالالفتح,SY
1025,علمني تموت الدمعه الاحداق اشتقتاليكفعلمنيانلااشتاق,TN
1026,شي يلوح لي الضي تابعوني مملكة راشد الماجدعايش أرجاءي حي غاب وبقت روحه قريبة,KW
1027,وضعي وانا اضحك ومو فاهمه نص الكلام,LY
1028,ربنا يوفقك ودي احصل ازاي وتعادل شهادة بتكلم بجد والله,SA
1029,لاللمحاكمالميدانية بدناالمعتقلين بدناياهنبدناالكل,SY
1030,قلتيها البعض بعدين بناء السعوديين يعتبرون سعوديين اختلفت امهاتهم اباءهم وارجع واقول مانقدر نعمم خطأ شعوب كاملة,MA
1031,حديث يطول خلنا نقول جيل بدايات النفط مو شايف خير وطبيعي يصير مخبل بس الجيل الثالث والرابع أعتقد لأسباب عقدة النقص,BH
1032,الثور ابوها اللي تركها بروحها,AE
1033,يسلملي مرورك وروحك الحلوه,IQ
1034,صح لسانك تجيب لنا شي بيتين قطر والاخونجيين,YE
1035,الله يحفظك يابوشهاب ويسهل لك كايد,QA
1036,بتاريخ حابب تدور حساب حسام,EG
1037,ماعندي شقق الله يرجك احس انك تكلمين حارس عمارة مصر,SA
1038,مو كلمتكم غلط لان طالبين بس المعتصمين يتعينون,IQ
1039,هسه يعني لازم ارد المعايدات ناس تحدد الكل وترسلها وبالأصل كوبي,IQ
1040,ليش التلطيش يا عبدالله الغنيه كتير حلوه نحنا حبينها كتير,LB
1041,انا انسان الله يعمرها دار,MA
1042,معذورةقدراتك العقليه بتفهم بطيخ عرس السطح,JO
1043,الله يشفيها ويعافيها ويطمنك سلامه,YE
1044,تودع عمر الزهور والورد,KW
1045,ليوم بكرا بعدو معك دولة الرئيس اشرف الناس اوفى الناس لبنان صغير نستاهل حدا متلك,LB
1046,وقفتكم هندسة بالتوفيق للجميع,IQ
1047,قلي علاش النوم ماحلاش,TN
1048,اكتب جوجل ماب مقهى رشفت شاي حي النهضة,SY
1049,يا امي الضحك اللي عمل الفيديو ده مطلوب ميت حي,AE
1050,هبشوالقطهعمانيهفيالعيد,OM
1051,نذكر الهم والفجيعة بكربله تحدياتشيعية,BH
1052,الفل موح هذي غيبة,DZ
1053,خليه يولي وامثاله بلوك وخلاص,QA
1054,الصحيح فخم رخيص وكويس وابن ناس,PL
1055,المهم سلامتكم تشوفون شر شكرا شرطة دبي,AE
1056,ايه معنى محمود السيسي يجتمع قيادات وزارة الداخلية ويقولهم اتطمنوا الريس مكمل واللي هيقصر هيتحاسب الليلة دي تعديده كلام متطمن وليه قيادات الداخلية محتاجة حد يطمنها ويهددها,EG
1057,شالله اكيد بنبتدي نسوي خلطة وفكرة جديدة,BH
1058,نصيحه عمرك تعطي وذنك لسوسه,LY
1059,شهور بيطير بيطير هناااك بعيد,QA
1060,نحس بالعجز مرة نقول راني نسيتوكل يهبط الليل نتفكر شيوكل مرة نفيق نتاكد لي كنت نكذب روحي وما نسيت شيء بتاتا البتة,TN
1061,كنت منيح اكتر خوازيقك بتكون اكتر,PL
1062,عايز أضيف حاجة بس للإخوة الافاضل بتوع الغلوشة مكالمة محافظ الإسماعيلية النت حوار محمد اللي شهرها شبكة رصد نشرتها مؤخرا,EG
1063,اكتبمنالقلبلقلبحظي اللي تجمل انا راعي جميلباير فيني ومخلف هقاوي هقى,KW
1064,تدوووم الخوة شاء الله,SD
1065,مين دافع حقهم هيدول كادو شي دوله صديقه,LB
1066,موه الوازي شي شغل صايره وسائل التواصل تسليه الفاضي,OM
1067,الطيف زرتهشفت نخيل بلادي مائل النيل والنيل برش رزازة ضلهاشتقت قدله النخيل مقيل,SD
1068,والله الوصاخه كلها عندكم لعنة الله عليكم شعب قذر بعيش اطهر ارض,QA
1069,طردتوا اشترى ليره تركيه ياصغار العقول شالله الغربان تسكن الامارات محد يجيها خيبه خيبه تلحقكم,QA
1070,تعبير وصورة أكثر دقيق ورائع,YE
1071,ويلا يا سكتنا عدياصلو الشوق تعديهدي بي ياشوق هديهدي بي قبال تعديانت ملزمني حديبس تشيل فوقي وتودي,SD
1072,دايما فاكرين انكم علما ولاء وفاء حدمش لازم اكون حافظ المهم ابقى فاهمانا عشقت الاهلي لاني وجدت المنظومة اللي بتمنى تمشي بيها مؤسسات البلد ولقيت الانتماء والاخلاق اكتر مكان تانيممكن حاجات شبيهة موجودة الزمالك بس انا ملقيتش افضل الاهلي,EG
1073,صح لسانك الجهل آفه,IQ
1074,الله يسلم غاليك يارب,OM
1075,قسوات متاع وذني كيما تقول خولة تحسو متخلف,TN
1076,اهم شي احذفو شي جروبات التصويت والايمايلات,DZ
1077,فخر تونس انت يا فررر الله أخلاقك يا مايسترو,TN
1078,الأصايل يا وطن جايب حبايبنا معهراجعين طال الزمنجرح البطل بيوجعهالنكبة فلسطين,PL
1079,علمباشر ربي يفرحنا ويفرح فلسطين,DZ
1080,أحتاج كورسات ارد الكلام الحلو تعبت وانا ياحياتي وياقلبي وياعمري,SA
1081,تخاف بنراجوهم عملية الأكل لين يهضموا وبعدها لين تتم عملية الإخراج وبعدها يجوعوا جديد وخودلك شن يحزها,LY
1082,بدنا المعتقليييين بدنا المخطوفين العفاريت الزرق الصفر السود داعش وحالش ماعش فالش,SY
1083,اخذ طبع الجلاده تعض ابهاموكابر فوك حيلك لليكرهونكاتوطن للمنايه تجيك اكبالوحاظر خاف ركه تبين بلونكوجد كون شانك تسكب العفرينوتخير سدر يخيرونكضل هبريح ناحر مهب الريحخل صدكان عدوانك يهابونك شعرشعبيعراقي,IQ
1084,والله جبتها نفسيتي هالأيام,YE
1085,جلدوووه شاء الله,MA
1086,المشكلة انت شكلك خمرجي عربجي مش راجل مهم كده لبس سلسله شكل العيال الشمال كده,AE
1087,شفت ناس رخيصة واجد بس ارخص هالكائن ماشفت وفعلا الكلب ايحب اللي خانقه,LY
1088,احليلنا تي موش هني المشكله انتقام البوليسية يا بنضبطوا علينا انضباط شبعوا التعنفيق والشلابيخ هاسيديها,LY
1089,ياااحرية سامر سليخ مواليد حمص متزوج عنده أولاد اعتقلوه العفاريت الزرق بتاريخ,SY
1090,الدعوى بسيطه اتصلي بالبنك وكنسليها والبطاقه الشخصيه نص ساعه معاج والله يعينج,QA
1091,دير ليها الكادر حطها فصالون هههه,MA
1092,يا أخ جعفر كنت امسكر خشمي زين بس ريحة الزبالة كأنها قدر عيش محموص إليه أيام مو مغسول,BH
1093,عرفتي انو اختيارك غلط يعني بفهم انك عاشرتيه كويس صح,LB
1094,وأنت بألف خير حبيبنا الغالي حمزة وينعاد علينا عليكم بالنصر والفرج مشتاقين بالأكتر والله,SY
1095,تلميذ رسب بهالمرحله يعني التقصير الكادر التعليمي وادارة المدرسه,LB
1096,كنت اشوف حكيت يغير ويبدل,PL
1097,استحي علئ شيباتك والله تموتين الدود ينقرف ومايقدر ياكلك,DZ
1098,ههههههههههههه وين أيامك خوي هشام والله ليك وحشة,LY
1099,رجعنا السودان تتخيلوا كمية السعادة الدخلت قلبي العدد المهول البشر البشبهونا وبياكلوا زينا وببتكلموا زينا وبنات المدرسة الكلهم صاحبوني وانا مستوعبة اصلا الحاصل مافي زول شايف اني خطأ عيب مافي تنمر عنصرية ولما اقول مافي انا بعنيها لاني شفت يعني شنو عنصرية,SD
1100,مرحبا شي شكرا لكل اللي عايدني بعيد ميلادي عذرا ماقدرت رد عالكل هالمحبة بتسوى عندي الدنيا كلها,SY
1101,اخير شفت اللي تقول رصيدك كافي لإجراء المكالمة,IQ
1102,لهالوقت معك لازم تكوني عرفتي هالسنة,LB
1103,شايفك يا مكتئب ياللي كنت بتشتم الصيف وتقول امتى يخلص والشتا يجي,EG
1104,الإخوة ال فين عايز استشارة سريعة كدة,EG
1105,قريباخلاص نفتح مطار صنعاءمافي داعيتكفى الله يخليك وربي نعيدهالا يعني,AE
1106,ياااحرية ماهر العايش القامشلي قريه فلسطين مواليدطالب رياضيات اعتقلوه العفاريت الزرق تبع االجويه,SY
1107,يا دكتورة جاي الحريم هاليومين خكرنة زايدة,SA
1108,اولي وطنية انا الحمدالله متستناش حد شيخليني نكون وطنية غرت مني تحب روحك كهو تونسية,TN
1109,طبعا ممكن تفوت شهر,MA
1110,تنسين تعطيه طيزك هدية فاز,DZ
1111,مدرب عاقل يبقى عنده ماتش مهم ويقعد بلدوزر ورجولة زي مصطفى محمد ويجود ليه بس,EG
1112,يا البنات ويارب سنه حلوه عليكى وتحققى اللى نفسك,PL
1113,عم يهربو ورا السراي وينقلوهن بالهليكوبتر,LB
1114,النورحاضرين بيتعدل المزاج,OM
1115,اشوف شي جذي ادري المنتج قوي واخذه,KW
1116,اكيد بضم الميم وفتح الراء,EG
1117,مواكب الريد لديرنكمشايله الغيم ويتمخطربعد قلنا نسيناايه الذكرنا تاني سير تكنوحاة عزتكم الفي قلوبنايا حلوين افتحوا لينا أحصانكم,SD
1118,داخل مناطق الحوثي نكذب مافيش فعالية نقدر نسويها وأتفه حوثي ممكن يخرب إجتماع,YE
1119,ليه طبقوا الفطير زي المعروف,SD
1120,انا ايه اللى صحانى بدرى بس,PL
1121,نعلم ويعلم الجميع صالح اهتم وركز شوية واتعدل محدش مصر هيوقفه احنا بندعمك زي بندعم حد بينتمي للكيان لازم تعرف الفرص اللي زي دي مش بتتكرر فريق بحجم النادي الاهلي ربنا يوفقك,EG
1122,انا ديرة نسايمها محبه البشر محبه صدورنا للخير رحبه طـيـبنا للطيب,KW
1123,شوش ربي يخليك يكتبلك الفرحة والايام الحلوة ويديم صداقتنا,TN
1124,الساعة وصلت وحدة ومازالت سوق جدحفص تغص بالمشترين والسيارات طابور الميوه العيد شئ رئيسي عيدكمسعيد,BH
1125,مشكور يالغالي اللي فينا مكفيناخذوابضاعتكم,AE
1126,مغربي بدون حب,AE
1127,مابيخلى الامر ودايما امل,SY
1128,خلك إيجابي الفيديو جميل,PL
1129,السيسي انتوا اللي كنتوا بتشيروا الحاجة بقى ابن مصر اللي يقف يقدم وجيش وأولاده ويمكن أحفاده تعملوا كدة حال قصدت بالكلام ده مش مصر,EG
1130,انتي مش غالطة ماتهتمي علاه احنا رحنا تدخلنا لمغاربة لي يفتخرو بملكهم وبلادهم وقلنا يعملو فتن,DZ
1131,نصر الله قريب تعزتتحرر,YE
1132,الله يوفقه ويحقق اللي بتمناه محمدعساف بصراحة,PL
1133,أبوس مبسمك لاصارت ضحكتك مني,SA
1134,حيل الله النبا,YE
1135,شكلك تبي تخليني أرجع بكلامي,AE
1136,سﻻااامحينااااكم ياااااااخبايبنا غيبةجيت أقول الخير واشوفكم كيفن أمسيتمواشنف اذني بأحلى التغريد غنوة فم تنثر الحديث كالدرر,SD
1137,رقم البلاغ سبوع كامل حد رد بخصوص موضوعي,OM
1138,طلعوا ورجعوا وافرحنا وما اذينا حد الحمدلله يا ريت بكفي تبريرات,PL
1139,بسمةصباح الحلقة اسمعوها عطونا رأيكن,SY
1140,سلم نفسك ياسعودي انت محاصر ذلحين سلم ووقف عدوانك ياسعودي محد عيفيدك,YE
1141,الحاجة الباهية لي انا ماعادش داخلة حيط انا الحيط بيدو,TN
1142,اختلاف جوهري القصة اختلاف الوان عشان اقدر اقرر انو دا السبب اختلاف جنسيات فكانت الغرابة اكتر انو انا مختلفة ليه,SD
1143,ايه لسه عنا ناس بدها فترة لتصفى مخها وتعرف الحق الباطل ناس بشار مو لانه باطل المسلمين هيك عليهم عليهم معاهم معاهم,SY
1144,بعتهاااا نهار دارو لينا الريمونتادا خوك كيبات غا فالزنقة دابا,MA
1145,أمك ماغير امك وطن يأبن الاجواد,OM
1146,حد شغال,EG
1147,شي بس شوفي شرح اليوتيوب طريقتي لاه هه,OM
1148,انا لله وانا إليه راجعون,YE
1149,والاكيد كلنا معاه بإذن الله شكرا لكل الاحباب الجزائر,YE
1150,أخفي عندي قدر الشماتة الناس اللي ظنت لفترة معاها صكوك الثورة وإنها اللي تقدر تحدد حراك ثوري تنزع صفة الثورية وتخون أشخاص وتصنفهم ده إخواني وده خلية نايمة أخفي شماتتي حيرتهم وتخبطهم عجزوا استيعاب تغير الزمن وتجاوز الأجيال الجديدة,EG
1151,الله يوفقك ياابو سعود مبدع حط سنابك منصور الرقيبة كنت ادخل السناب عشان منصور الرقيبة وعبد الرحمن الصالحي والان ابو سعود قمة الابداع ماتقدمونه,SY
1152,هاي وين عيني مختفية,IQ
1153,انا ساكن فالمدينة كانتغطى بيها صيف شتا,MA
1154,موتوني الفيديوهات بنزلهم وبحذف التغريدة تلات مرات ليزبط الصوت هون,PL
1155,حسبت روحس انا نخخم هك المهم بلاك نتلاقاو فالمنام,DZ
1156,الحساتركضمن زعلهاوين رايحة,MA
1157,ماشي انا ملاحظة محلها حيت استاذة وحدة هادي,MA
1158,احمدخضر بدناياهبدناالكل,SY
1159,هالانتقادات وردود الناس موظف كلف وكتب رد موظف يحس مسؤول ردود الناس مالها قيمة عندكم ليش مسوين الاكاونت,KW
1160,خليك شارع العرب ماليزيا يمدحون شاي الكرك,BH
1161,خيروه قصور وعماير يفارق البل,OM
1162,حلاووه مسويه راس,QA
1163,والله اني صادق وانت تستاهل توصي حريص,QA
1164,يجوز ممسوح خاصية متنشاف الردود,IQ
1165,الله اديش حلوة هالعيلة ماشالله تويت بيفرح القلب,LB
1166,ربي خلق وفرق وانا قلت,DZ
1167,يا سلااام تجنن تجنن تجنن أمولتي,YE
1168,يارجال والله مريض تحمد الله واترك يسولف الخبل بابا حماده تقلع تقلع الله يصلحك,QA
1169,ملمح جديد بالنسبة لي,EG
1170,انت عندك مشكله فيك تشتري عالباسبور البريطاني,LB
1171,هلانتعمانياكيد دامني اقول سندويكة,OM
1172,مصر مكانتش سبب فوز محمد صلاح نجاحه مصر بتستغل فوز محمد صلاح الشخصي عشان تغطي فشلها باختصار,EG
1173,معقولة لحن هام السحب مقتبس اغنية يمنية اسمع واحكم بنفسكسعدلمجرداومحمدعبدهعيدكممبارك,YE
1174,وش أكثر كلمة تأثر فيك أحبك طيب عشاني ماأبي غيرك,SA
1175,الله يخليك يارب ويسعددددددك,JO
1176,مجلس عزبه سلامات وعشاء وتصوير وسلامتكم,QA
1177,الحكم مبوظ الماتش بيحسبش الفاولات الصريحة دفعات رمضان الخط دي واللي كورة شيكابالا اللي جيه الجون حسبهاش,EG
1178,مو العقلية والسياسة دمرت البلد والعرب بس انتم تفهمون التاريخ سهل قراءته خصوصا تشوف صور الخميني بالشوارع المهم انا شككت بالحرب قيمتها بس قيمت سياسية وصلت العراق لإيران وراحت نتائج الحرب بولة بشط,IQ
1179,بكره يا يسلمونه ولد سحيم لقطر يذبحونه القطو ويقطونه اقرب زباله للتاريخ,QA
1180,وانتي بخير كنوز ينعاد بالخير شاءلله نعايد ونضل دائمامعك للاخر,LY
1181,صحلوا شارع مسقطغلا وبعدين بتصيروا عون,OM
1182,تعالي معانه حق التكه الخبر فآنه رايحه رايحه,BH
1183,بنص الفلم يعني ساعة,IQ
1184,دايما الناس اللي نسمع عنهم كلام سيئ تعرفنا عليهم يطلعون احسن الحيوان اللي تكلم عنهم,KW
1185,شطر رحت عني اغنيهليتك مفارقني شيء يسوى,OM
1186,خوية شحاميها انت تحجي صدك,IQ
1187,عشان الاسلام يا خوة,SD
1188,يومه يخيب جات,OM
1189,قاعدين كاسبين صدقيني يا هنونا وإلا راهو ملقيتيش عشرات المخابز اللي قاعدة تبيع بالسعر الأول,LY
1190,تو ياخي الكلاش بالكلام الزايد موش باش يوفا سامارا كلاي والله شيء يوجع القلب,TN
1191,مو مقبول بمجتمع عربي نوعية الحب صارت جاد وبيان باي دولة منبوذ يعني احنا بنص امريكا واذا شخص حب حبيبة صديقه يصير منبوذ صح تصير مقبولة والادهى البنات يتغنون بحبهم يعني مهم حب ممفروض اصلا يسمح لنفسه يحبها لان يصيح ام صديقه يسميها امي,IQ
1192,مفروض ضغط تتوقع ومبعد تطلع مرة واحدة بس اغلب الفانز مش عارفين الطريقة الصحيحة للمشاهدة,DZ
1193,اهل الرياض يقولوا لـﮬ جح,YE
1194,انتي طيبه يا ام عثمان وقلبج طيب معرفتي فيج الشخصية تحياتي لج,BH
1195,قلنا نشوف الجواسيس فيكم,SD
1196,حق ايش يجيب لك هديه وانت ماتعرفهالمفروض ماتقبلها ولوكانت سنداللوز مش شويه جعاله,YE
1197,بقولش الكلام ده مش مهم بلعب رياضة وباكل صحي وبتشمس يوميا وبشوف صحابي وبكلمهم يوميا وعامل روتين صحي لحياتي بس بقول ده نفعش لوحده جاب نتيجة هايلة الدوا محدش عنده الضغط السكر بيكتفي بنمط حياة صحي علاج مرض يعني علاج بالأساس,EG
1198,مجنونسهيلهعلىالابواب,DZ
1199,وين راعي ادعس شكله نام,OM
1200,تنسي استخدمي الفوتوشوب وعدلي ملامح وجهك,OM
1201,ده شخص متخلف,EG
1202,نهدا نعقل,AE
1203,عصابة كيفهم كيفه مهزلة,LY
1204,صادقه بمحبتي الها بس اشياء تخليك تنفر الشخص كنت بتحبو,LB
1205,بربي شكونهم راس الشحم الأعضاء متاع لجنة الخريات الفردية المساواة ياخي بشنوة يخمموا بالله,TN
1206,يسعده اللي بضل طبيعته محمدعساف بصراحة,PL
1207,انا مش عارفة سمعن الشي المشاهدة تتحسب مرة واحدة,DZ
1208,انت الاجمل يا خوة,SD
1209,الناس بتحب هيك شغلات,PL
1210,افضل منبه بالعالم امك بتخبرها تفيقك عال بتفيقك وبتقلك قووووم الساعه تروستوري,LB
1211,ربي يبارك عمرك روحي تسلميلي يااارب,LB
1212,بو شنين وفهد تغريدتي واضحة بو شنين مب انت تقول ليش تحكمون لاعب مدرب والدوري بعده بدأ سؤالي واضح يعرف شاهد اجانب شباب الاهلي والجزيرة يحكم شي يعرفه أنتوا تفهمون مثله يجوز الحكم اجانب العين والدوري بعده بدأ,AE
1213,اكيد يا باشا مش هيفرق نوع الزيت المواد الحافظة نفسها,EG
1214,إنا لله وإنا راجعون ايه اللي صاير الدنيا معقول يا رجل تهين نفسك بالصورة القبيحة دي يهن يسهل الهوان لجرح بميت ايلام,SD
1215,الله يسامحكهذاك زمانا احلى لازم مضارب عالكرسي وعند المقصف,OM
1216,تسلم ياخوي هذي امنية حياتي اغني المملكة العربية السعودية اللي ماعمري غنيت,BH
1217,يقولون أبها بارده هالايام,QA
1218,تتعود انسان سطح علاقاتك وريح ضميرك,SA
1219,ارتب لكم شيء والله جد,BH
1220,انتو اتحادكم شي يجي,MA
1221,حبيبيعيون حبيبوالسلسل الشفناهو عفراء عجبني شديدم مشكلة نمش نشوفو يوملا كده انت,SD
1222,إيه اللي يمنع حركات المعارضة السياسية وغيرها إنها تدخل بتقلها عالم العملات المشفرة وتنقل جزء مهم رأس مالها للعالم ده,EG
1223,اغادير قديمة وكازا زحمة وصجة بمارينا سمير الصويرة مابعد خربوها ربعنا,SA
1224,الهلالالقادسيهوووووووووووحش قووووميز يالبى,MA
1225,طفرت فوگ الحايط,IQ
1226,فدييت يحطون توقيت المغرب يااارب موفقين فايزين باذن الله,MA
1227,وضعي هالفترة زي الختيارة تحكي وفجأة تنام,JO
1228,بذمتيانك نفر واجد زين,OM
1229,صحيح صديقي حبيت أتكلم اهم هداف لكل فريق,TN
1230,امالبنات الله يلعن البير سنينو ياخذ ام نجم لانها قرفتني فالمسلسل,TN
1231,الشهيد بيقولكم افرحوا يا مصريين انا مت عشان الفرحه دي متتسرقش منكم يا مصريين الشهيد تحيامصر,AE
1232,ترا قلت نبي قلت احسن يعني مو رفاه وسعادة احسن المالكي والجعفري الواقع كافي هالنظرة تكلم كلام قلتوا تمحيص,IQ
1233,امين الله يسعدك يارب,JO
1234,بقول ننسحب بدل نطلع بفضيحة نلعب والبلد خطر تحيامصر,EG
1235,مش معقول صنعاء بكلها سمعت,YE
1236,جفتي والذوق اللبس طبيشه,BH
1237,باركوله ياجماعة اكتشف اكتشاف جديد,EG
1238,استهلك وقت الجد مينفعك حد صحيح التركي بقلاوة وقت الاقتصاد تونسي مهدد يولي منتوجنا الحل وخيرات بلادنا مكيفها حد,TN
1239,انا لعبت وحدة تقول انا سحاب بنت عبدالله وبطاقتي موقفة,SA
1240,هههههه قله يعيني بدل المدلل شف اخر تغريده لي,YE
1241,ممم صافي فهمتو غلط هههه,MA
1242,العليان بياكل هواء بكرة فراسة عربي,SA
1243,انا سويت اللي لأحد يلومني,JO
1244,انا عشت فتره كبيره حياتي الخليج لي سنتين بالاردن الخليج متي يخلص الدوام عشان يروح البيت اللي بكون مقضيه التليفون الأردني يلاقي وظيفه حتي ساعه الخليجي بده يشتري ايفون جديد يقدر يعمل عزايم الشهر الأردني يطعمي اهل بيته,JO
1245,عندنا الزهر لقينا هيفا روبي فياماتنا خونا كايحيبو تصويرة الركبة ديال التيمومي ههههه,MA
1246,وليش اخذتها انت,IQ
1247,اكتب الكلام اللي قاله ماقدرتش نفهمه,LY
1248,وش بالصورة اصلا عشان يرعو مايرجعو,MA
1249,شو الفهلوية والشطاره انتصرنا خائن وقاتل وأكل كبود البشر,SY
1250,فطومة سبقتيني فاتحه تويتر بكتبها,KW
1251,اه مرقة حارة وهيك,PL
1252,بعرفك اذكة هيك مين السبب بلي عم يصير عنا لبنان للأسف كلنا راكضين ورا زعمائنا هني وصلونا لهون بعدنا نرمي التهم هيدا دليل المسؤوليه هيدا وصلنا لهون بدنا نضل نحكي لوغة الطائيفه بحياتنا نبني وطن,LB
1253,نمت وصحيت مرات ويوم التلات لسه خلصش,PL
1254,استنى يا أمير نسأل الأسئلة المهمة الأول انت بقالك شهرين قاعد البحر,EG
1255,النقد مسموح بس اللي ينتقد بنراويه صنع الله,BH
1256,الحمدلله اللي عرفتني ظلمتكن حال الشعب كلو مديون الله يعين الناس,LB
1257,والاخضري العدين بكرمشدته بيضا ومشقره اخضر,YE
1258,العدالهالدوليهللمجزرهحميدتي طريقه للرئاسة بقى بتاع مواهب كمان جدع ليكم وجاب ليهو آية راسو صاحب العقل يميز واليوم ليك كمان خاشي تويتر الله مش تعمل ليك تويتر وتكتب إنجليزي طبق نظرية النسبية حقت آينشتاين برضو يسقط يسقط حكم العسكر,SD
1259,وحده عينها سايحه صارت تشابهني,KW
1260,خيره الله خيرة,YE
1261,صدقتي بس وين التوافق بينهم,SA
1262,كنزهوجودكحرقانغيابكطوفانادلع ياكايدهم خليهم يشفونكعلمهم اصول حسنعطيهم درس بعيونك,LY
1263,هذي غزواتكم اغاني يالرقاصاتشف وش تركيبعر ممكن اغنيه جديده علمترامبالقدسهذاحقنا,QA
1264,الارمن وبتوع شرق أوروبا لأسباب بيبانش عليهم السن,EG
1265,ههههههههههه خايفة بوشقمة,LY
1266,شن النت اللي بتركبها,LY
1267,وين اللي ام فاهد ترد عليهم وتعطيهم فولوا,JO
1268,صعبة شيل الصورة واسأل كاروري الانت عارف صفحتو الفيسبوك بس ملحوظة صغيرة متأكدة مكان ومصدر الصورة نشرتها موضوع انو مافيها جمال فدا رأي وكل زول حر,SD
1269,الله ابن العم يسعد مساك,IQ
1270,اكيد لازمه كثير شغل تكتيكي وبدني خامة ممتازة,TN
1271,دفتر اللي ضايع دفتر يقوليالبحرين السعودية الكويت مصر قطر الامارات,BH
1272,ترا مو قهوه هذي غرفه,SA
1273,الشي والدتي الله يرحمها ماتسجل مايطلعش اسمها عائلات كاملة تمشي وايقولوا قرعة حسبي الله ونعم الوكيل فيهم,LY
1274,تعرفتقولقيقوانتوسطالماء,YE
1275,خلصنا تلخيص فصول الكتاب باقي شرح الامثلة اختار اهم الامثلة مثال,KW
